No.,Variable Name,Description,Option Number,Values,Notes,,,,,,,,,,
121,xphdd9,Not taking any action,,,,,,,,,,,,,
127,hscntcr1,Have your been put off spending because you are concerned that you will not be able to get credit when you need it?,0,No,Available between 2006 and 2011,,,,,,,,,,
128,hscntcr2,Would you like to borrow any more at the moment but find it too expensive or difficult to do so?,1,Yes,,,,,,,,,,,
129,hscntcr,Actual or Percieved credit constraint,,,,,,,,,,,,,
130,hscrchg,Have your found it easier or harder to borrow to finance spending than a year ago?,1,Harder,Available between 2006 and 2011,,,,,,,,,,
,,,2,Easier,,,,,,,,,,,
,,,3,The same,,,,,,,,,,,
131,saveamount,How much of your household monthly income would you say that you save every month?,1,None,Available in 2010 and 2011,,,,,,,,,,
,,,2,£25 or less,,,,,,,,,,,
,,,3,£25-£49,,,,,,,,,,,
,,,4,£50-£99,,,,,,,,,,,
,,,5,£100-£149,,,,,,,,,,,
,,,6,£150-199,,,,,,,,,,,
,,,7,£200 - £249,,,,,,,,,,,
,,,8,£250 - £299,,,,,,,,,,,
,,,9,£300 - £349,,,,,,,,,,,
,,,10,£350 - £399,,,,,,,,,,,
,,,11,£400 - £449,,,,,,,,,,,
,,,12,£450 - £499,,,,,,,,,,,
,,,13,£500 - £599,,,,,,,,,,,
,,,14,£600 - £699,,,,,,,,,,,
,,,15,£700 - £799,,,,,,,,,,,
,,,16,£800 - £899,,,,,,,,,,,
,,,17,£900 - £999,,,,,,,,,,,
,,,18,"£1,000 - £1,499",,,,,,,,,,,
,,,19,"£1,500 - £1,999",,,,,,,,,,,
,,,20,"£2,000 or more",,,,,,,,,,,
132,saveamount_a,Midpoints of saveamount,,,Available in 2010 and 2011,,,,,,,,,,
133,saving,Are you planning to / or have you already started to increase the amount of money you save?,1,"Yes, significantly increase",Available in 2009 and 2010,,,,,,,,,,
,,,2,"Yes, slightly increase",,,,,,,,,,,
,,,3,"No, not particularly",,,,,,,,,,,
,,,4,"No, definitely not",,,,,,,,,,,
,,,,,,,,,,,,,,,
134,saving11,Over the next year are you planning to change the amount of money you save?,1,Decrease by £300 or more a month,Asked in 2011,,,,,,,,,,
,,,2,Decrease by £200-£299 a month,,,,,,,,,,,
,,,3,Decrease by £150-£199 a month,,,,,,,,,,,
,,,4,Decrease by £100-£149 a month,,,,,,,,,,,
,,,5,Decrease by £50-£99 a month,,,,,,,,,,,
,,,6,Decrease by less than £50 a month,,,,,,,,,,,
,,,7,Don't plan to change my monthly saving,,,,,,,,,,,
,,,8,Increase by less than £50 a month,,,,,,,,,,,
,,,9,Increase by £50-£99 a month,,,,,,,,,,,
,,,10,Increase by £100-£149 a month,,,,,,,,,,,
,,,11,Increase by £150-£199 a month,,,,,,,,,,,
,,,12,Increase by £200-£299 a month,,,,,,,,,,,
,,,13,Increase by £300 or more a month,,,,,,,,,,,
135,savebcs,What would you say is the main factor driving this increase?,1,Fear of redundancy / job insecurity,Available for 2009 only (but see savebcs1-13 and save11bcs1-12),,,,,,,,,,
,,,2,Less guranteed monthly income,,,,,,,,,,,
,,,3,I have extra cash from a decrease in mortgage repayments,,,,,,,,,,,
,,ASKED IF saving WAS AN INCREASE,4,I have extra cash from fall in other bills,,,,,,,,,,,
,,,5,I am saving for a deposit on house or flat,,,,,,,,,,,
,,,6,Have additional personal commitments,,,,,,,,,,,
,,,7,I am worried about future tax increases,,,,,,,,,,,
,,,8,I am trying to reduce my debts,,,,,,,,,,,
,,,9,The value of my existing investments has fallen,,,,,,,,,,,
,,,10,Other (specify),,,,,,,,,,,
136,savebcs1,What would you say is the main factor driving this increase? MAX 4 RESPONSES,1,I am worried about future tax increases,Available for 2010 only (but see savebcs and save11bcs1-12),,,,,,,,,,
137,savebcs2,,2,Fear of reducancy / job insecurity,,,,,,,,,,,
138,savebcs3,,3,I am worried about future interest rate increases,,,,,,,,,,,
139,savebcs4,ASKED IF saving WAS AN INCREASE,4,To make up for the fact that the value of my house or the value of my investments has fallen,,,,,,,,,,,
140,savebcs5,,5,Less guranteed monthly income,,,,,,,,,,,
141,savebcs6,,6,I have extra cash from a decrease in mortgage repayments,,,,,,,,,,,
142,savebcs7,,7,I have extra cash from increased income / second job / inheritance / lower bills,,,,,,,,,,,
143,savebcs8,,8,I am saving for a deposit on house or flat,,,,,,,,,,,
144,savebcs9,,9,"I am saving for a big item, e.g. car, holiday, home improvements, etc",,,,,,,,,,,
145,savebcs10,,10,I am saving for retirement,,,,,,,,,,,
146,savebcs11,,11,"I am saving for personal commitments e.g. marriage, children's education, long term care",,,,,,,,,,,
147,savebcs12,,12,I am trying to reduce my debts,,,,,,,,,,,
148,savebcs13,,13,Other (specify),,,,,,,,,,,
149,desave11bcs1,What would you say is the main factor driving this decrease? MAX 4 RESPONSES,1,I will be unable to save as much because of lower income,Asked in 2011 only,,,,,,,,,,
150,desave11bcs2,Asked if saving11 was a decrease,2,I will be unable to save as much because of the higher cost of essentials like food and bills,,,,,,,,,,,
151,desave11bcs3,,3,I will not save as much because I have bought the item I was saving for,,,,,,,,,,,
152,desave11bcs4,,4,I will not save as much because I now have enough in saving accounts and other assets,,,,,,,,,,,
153,desave11bcs5,,5,I will not save as much because of the low level of interest rates,,,,,,,,,,,
154,desave11bcs6,,6,Other,,,,,,,,,,,
155,save11bcs1,What would you say is the main factor driving this increase? MAX 4 RESPONSES,1,I am worried about future tax increases,,,,,,,,,,,
156,save11bcs2,Asked if saving11 was an increase,2,"I am worried about redundancy/losing my, or my partner's, job",Asked in 2011 only (but see savebcs and savebcs1-13 for similar questions),,,,,,,,,,
157,save11bcs3,,3,I am worried about future interest rate increases,,,,,,,,,,,
158,save11bcs4,,4,To make up for the fact that the value of my house or the value of my investments has fallen,,,,,,,,,,,
159,save11bcs5,,5,"I will have less guaranteed monthly income, e.g. Less overtime, self employed work",,,,,,,,,,,
160,save11bcs6,,6,I will have extra cash from a decrease in mortgage repayments,,,,,,,,,,,
161,save11bcs7,,7,I will have extra cash from increased income / second job / lower bills,,,,,,,,,,,
162,save11bcs8,,8,I will save for a deposit on house or flat,,,,,,,,,,,
163,save11bcs9,,9,"I will save for a big item, e.g. car, holiday, home improvements, etc",,,,,,,,,,,
164,save11bcs10,,10,I will save for retirement,,,,,,,,,,,
165,save11bcs11,,11,"I will save for personal commitments e.g. marriage, children's education, long term care",,,,,,,,,,,
166,save11bcs12,,12,I will try to reduce my debts,,,,,,,,,,,
167,spend,"Thinking about the last 12 months and taking all your household's spending into account, did you end up spending more or less than you had expected? Would you say..",1,My houshold spent more than we had expected,Available in 2008 only,,,,,,,,,,
,,,2,My houshold spent roughly the same amount as expected,,,,,,,,,,,
,,,3,My houshold spent less than we had expected,,,,,,,,,,,
168,nvesttot ,"How much do you (or any member of your household) currently have in total, saved up in savings and investments? Include bank /building society savings accounts or bonds, stock and shares, ISAs, Child Trust Funds, NS&I account/bonds and premium bonds. Please exclude any pensions you may have.",1,None,"Available 2005, 2010 and 2011",,,,,,,,,,
,,,2,£500 or less,None' option was added in 2011,,,,,,,,,,
,,,3,£500 - £999,,,,,,,,,,,
,,,4,"£1,000 - £1,999",,,,,,,,,,,
,,,5,"£2,000 - £2,999",,,,,,,,,,,
,,,6,"£3,000 - £3,999",,,,,,,,,,,
,,,7,"£4,000 - £4,999",,,,,,,,,,,
,,,8,"£5,000 - £5,999",,,,,,,,,,,
,,,9,"£6,000 - £6,999",,,,,,,,,,,
,,,10,"£7,000 - £7,999",,,,,,,,,,,
,,,11,"£8,000 - £8,999",,,,,,,,,,,
,,,12,"£9,000 - £9,999",,,,,,,,,,,
,,,13,"£10,000 - £12,499",,,,,,,,,,,
,,,14,"£12,500 - £14,999",,,,,,,,,,,
,,,15,"£15,000 - £17,499",,,,,,,,,,,
,,,16,"£17,500 - £19,999",,,,,,,,,,,
,,,17,"£20,000 - £24,999",,,,,,,,,,,
,,,18,"£25,000 - £29,999",,,,,,,,,,,
,,,19,"£30,000 - £34,999",,,,,,,,,,,
,,,20,"£35,000 - £39,999",,,,,,,,,,,
,,,21,"£40,000 - £44,999",,,,,,,,,,,
,,,22,"£45,000 - £49,999",,,,,,,,,,,
,,,23,"£50,000 - £74,999",,,,,,,,,,,
,,,24,"£75,000 - £99,999",,,,,,,,,,,
,,,25,"£100,000 - £149,999",,,,,,,,,,,
,,,26,"More than £150,000",,,,,,,,,,,
169,nvesttot_a,Midpoints of nvesttot,,,"Available 2005, 2010 and 2011",,,,,,,,,,
170,othassets ,"And do you (or any member of your household) have any other assets e.g. entitlement to a company or private pension, land or other properties (excluding the one you live in)? ",1,Yes,Available in 2010 only,,,,,,,,,,
,,,2,No,,,,,,,,,,,
,,,,,,,,,,,,,,,
171,debtconc  ,"How concerned are you about your current level of debt?  Please consider all debt, including any balances on credit /store cards, loans, or secured debt such as your mortgage. ",1,Very concerned ,Available in 2010 only,,,,,,,,,,
,,,2,Somewhat concerned,,,,,,,,,,,
,,,3,Not at all concerned,,,,,,,,,,,
172,debtconc_act1 ,"What actions, if any, are you taking to deal with your concerns about your current level of debt? ",1,Cutting back on spending,Available in 2010 only,,,,,,,,,,
173,debtconc_act2 ,,2,Avoiding getting into any further debt,,,,,,,,,,,
174,debtconc_act3,,3,Making overpayments to clear the debt more quickly,,,,,,,,,,,
175,debtconc_act4,,4,Working longer hours / taking a second or better paid job,,,,,,,,,,,
176,debtconc_act5,,5,Getting financial help from family/relatives,,,,,,,,,,,
177,debtconc_act6,,6,Not taking any action ,,,,,,,,,,,
178,debtconc_act7,,7,Other (please specify),,,,,,,,,,,
179,chdebtconc ,How has your concern about your current level of debt changed over the last two years?,1,Increased,Available in 2010 only,,,,,,,,,,
,,,2,Stayed the same,,,,,,,,,,,
,,,3,Decreased,,,,,,,,,,,
180,pubsecty,Does your household gain more than half of its income from work for the public sector (by this we mean working directly for the public sector or for industries or services that mainly depend on contracts with the government for their business activity)?,1,Yes,Available in 2010 and 2011,,,,,,,,,,
,,,2,No,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
181,fisc_conc1,"Britain's recently elected coalition government announced a set of measures in order to cut the country’s budget deficit. When these measures come into force, which of the following will you be most concerned about? Please select just three of the following. MAX 3 ANSWERS. RANDOMISE ORDER OF CODES A-G",1,Loss / reduction of my income benefits,Available in 2010 only (but see fisc_impact1-8 and fisc11_conc1-8 for related 2011 questions),,,,,,,,,,
182,fisc_conc2,,2,Losing my job or my partner’s job,,,,,,,,,,,
183,fisc_conc3,,3,The company I (or someone in my household) works for/own may lose public sector contracts,,,,,,,,,,,
184,fisc_conc4,,4,Reduced spending on services from which I benefit,,,,,,,,,,,
185,fisc_conc5,,5,Lower wages,,,,,,,,,,,
186,fisc_conc6,fisc_conc8 and fisc_conc9 ARE MUTUALLY EXCLUSIVE,6,Higher taxes on spending (e.g. VAT),,,,,,,,,,,
187,fisc_conc7,[DO NOT ALLOW DK OR REF AS COVERED BY H AND I],7,Higher taxes on earnings,,,,,,,,,,,
188,fisc_conc8,,8,I do not think I will be heavily affected  ,,,,,,,,,,,
189,fisc_conc9,,9,I have not really thought about it,,,,,,,,,,,
190,fisc_act1  ,"Which, if any, of the following actions are you taking in response to those measures? Please select just three of the following. MAX 3 ANSWERS",1,Saving more,Available in 2010 only (but see fisc11_act and fisc_likact for related 2011 questions),,,,,,,,,,
191,fisc_act2,,2,Spending more  ,,,,,,,,,,,
192,fisc_act3,,3,Looking for a new job within travelling distance from where I currently live,,,,,,,,,,,
193,fisc_act4,fisc_act8 AND fisc_act9 ARE MUTUALLY EXCLUSIVE,4,Looking to relocate to find a new job,,,,,,,,,,,
194,fisc_act5,,5,Working longer hours/ taking a second or better paid job,,,,,,,,,,,
195,fisc_act6,,6,Receiving financial help from family/relatives,,,,,,,,,,,
196,fisc_act7,,7,Giving financial help to family/relatives,,,,,,,,,,,
197,fisc_act8,,8,I am not taking any action and do not plan to,,,,,,,,,,,
198,fisc_act9,,9,I am not taking any but may act when the need arises,,,,,,,,,,,
199,fisc_impact1,"In 2010, the government announced a set of measures in order to cut the country's budget deficit. Some of these measures have already come into effect. How have these measures affected your household over the past year? MAX 3 ANSWERS",1,Loss/reduction of my income benefits,Available in 2011 only (but see fisc_conc1-9 for related question in 2010),,,,,,,,,,
200,fisc_impact2,,2,Lost my job or my partner’s job,,,,,,,,,,,
201,fisc_impact3,,3,There has been a cut back on services which I use/have used,,,,,,,,,,,
202,fisc_impact4,,4,Lower income,,,,,,,,,,,
203,fisc_impact5,RANDOMISE ORDERS OF CODES,5,Higher taxes,,,,,,,,,,,
204,fisc_impact6,,6,I do not think I have been heavily affected  ,,,,,,,,,,,
205,fisc_impact7,fisc_impact6 AND fisc_impact7 ARE MUTUTALLY EXCLUSIVE,7,I have not really thought about it,,,,,,,,,,,
206,fisc_impact8,,8,Other,,,,,,,,,,,
207,fisc11_act1,"Which, if any, of the following actions have you taken in response to those measures? Please select just three of the following. MAX 3 ANSWERS",1,Saved more,Available in 2011 only (but see fisc_act1-9 for related question in 2010),,,,,,,,,,
208,fisc11_act2,,2,Spent more,,,,,,,,,,,
209,fisc11_act3,,3,Looked for and/or found a new job,,,,,,,,,,,
210,fisc11_act4,RANDOMISE ORDERS OF CODES,4,Worked longer hours / taken a second or better paid job,,,,,,,,,,,
211,fisc11_act5,,5,I have not taken any action,,,,,,,,,,,
212,fisc11_act6,fisc11_act5 IS MUTUALLY EXCLUSIVE,6,Other ,,,,,,,,,,,
213,fisc11_conc1,Some of the government's measures will come into effect over coming years. Which of the following are you most concerned about for the future? MAX 3 ANSWERS,1,Loss/reduction of my income benefits,Available in 2011 only (but see fisc_conc1-9 for related question in 2010),,,,,,,,,,
214,fisc11_conc2,,2,Losing my job or my partner’s job,,,,,,,,,,,
215,fisc11_conc3,,3,There might be a cut back on services which I use/have used,,,,,,,,,,,
216,fisc11_conc4,RANDOMISE ORDERS OF CODES,4,Lower income,,,,,,,,,,,
217,fisc11_conc5,,5,Higher taxes,,,,,,,,,,,
218,fisc11_conc6,fisc11_conc6 AND fisc11_conc7 ARE MUTUTALLY EXCLUSIVE,6,I do not think I will be heavily affected  ,,,,,,,,,,,
219,fisc11_conc7,,7,I have not really thought about it,,,,,,,,,,,
220,fisc11_conc8,,8,Other,,,,,,,,,,,
221,fisc_likeact1,"Which, if any of the following actions will you take in response to those measures? MAX 3 ANSWERS",1,Save more,Available in 2011 only (but see fisc_act1-9 for related question in 2010),,,,,,,,,,
222,fisc_likeact2,,2,Spend more,,,,,,,,,,,
223,fisc_likeact3,,3,Look for a new job,,,,,,,,,,,
224,fisc_likeact4,RANDOMISE ORDERS OF CODES,4,Work longer hours / take a second or better paid job,,,,,,,,,,,
225,fisc_likeact5,,5,I don't plan to take any action but may if the need arises,,,,,,,,,,,
226,fisc_likeact6,fisc_likact5 IS MUTUALLY EXCLUSIVE,6,Other ,,,,,,,,,,,
227,forebearsec1,Are you or your household currently benefitting from any of the options below to help ease the burden of your mortgage? Please include options that you are benefitting from that were permitted in the original terms of your mortgage as well as those that were not. Do not include any general benefit you may be getting from the current low interest rates.,1,A (temporary or permanent) switch from a repayment mortgage to an interest only (or part repayment/part interest only) mortgage,Available in 2011 only,,,,,,,,,,
228,forebearsec2,,2,A reduction in interest rate offered due to difficulties in making payments,,,,,,,,,,,
229,forebearsec3,,3,Having a (part or full) mortgage payment holiday,,,,,,,,,,,
230,forebearsec4,,4,Having lower monthly payments due to having extended the term of your mortgage in the past,,,,,,,,,,,
231,forebearsec5,,5,Having had mortgage arrears added to your outstanding mortgage balance (capitalisation) in the past,,,,,,,,,,,
232,forebearsec6,,6,Claiming Support for Mortgage Interest (SMI),,,,,,,,,,,
233,forebearsec7,RANDOMISE ORDERS OF CODES,7,Another change to the terms of an existing mortgage to help ease the burden of payment,,,,,,,,,,,
234,forebearsec8,,8,None of these  i.e. did not need help to meet payments or did not request / was not granted any of the above,,,,,,,,,,,
235,forebeareffsec,"If you had not made this change, which of the following would describe your likely situation? ",1,"I would be up to date with my mortgage payments, without much struggle. ",Available in 2011 only,,,,,,,,,,
,,,2,"I would be up to date with my mortgage payments, but it would be a struggle",,,,,,,,,,,
,,ASKED IF ANY OF forebearsec1-forebearsec7=1,3,I would be behind on my mortgage payments by less than 6 months of payments,,,,,,,,,,,
,,,4,I would be behind on my mortgage payments by 6 months or more of payments ,,,,,,,,,,,
236,brrise,"The interest payment on mortgages is often linked to the official interest rate set by the Bank of England.  If the rate was to increase, your monthly payments would also increase.  About how much do you think your monthly mortgage payments could increase for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or request a change to your mortgage?",1,£0-49,Asked in 2011 only,,,,,,,,,,
,,,2,£50-99,,,,,,,,,,,
,,,3,£100-149,,,,,,,,,,,
,,,4,£150-199,,,,,,,,,,,
,,,5,£200-299,,,,,,,,,,,
,,,6,£300-399,,,,,,,,,,,
,,,7,£400-499,,,,,,,,,,,
,,,8,£500-599,,,,,,,,,,,
,,"ASK IF intmg WAS 3, 4 OR 5",9,£600-699,,,,,,,,,,,
,,,10,£700-799,,,,,,,,,,,
,,,11,£800-899,,,,,,,,,,,
,,,12,£900-999,,,,,,,,,,,
,,,13,£1000-1499,,,,,,,,,,,
,,,14,£1500 or more,,,,,,,,,,,
237,forebearunsec1,Are you or your household currently benefitting from any of the following actions / changes to your loan agreement to help ease the burden of your debt (other than mortgage debt)?,1,"A Debt Management Plan (DMP), Debt Relief Order (DRO), Bankruptcy order or IVA",Asked in 2011 only,,,,,,,,,,
238,forebearunsec2,,2,Making token payments to creditors ,,,,,,,,,,,
239,forebearunsec3,RANDOMISE ORDERS OF CODES,3,Having lower monthly payments due to having extended the term of your loan in the past,,,,,,,,,,,
240,forebearunsec4,,4,Another change to the terms of an existing unsecured loan to help ease the burden of payment,,,,,,,,,,,
241,forebearunsec5,,5,None of the above (did not need help to meet payments or did not request / was not granted any of the above),,,,,,,,,,,
242,forebeareffunsec,"If you had not made this change, which of the following would describe your likely situation?",1,"I would be up to date with my loan payments, without much struggle",Asked in 2011 only,,,,,,,,,,
,,,2,"I would be up to date with my loan payments, but it would be a struggle",,,,,,,,,,,
,,ASK IF ANY OF forebearunsec1-forebearunsec4=1,3,I would be behind on my loan payments ,,,,,,,,,,,
243,uncert,How certain are you that you know what your household income will be a year from now?,1,I have a good idea of what my household income will be in a year’s time,Asked in 2011 only,,,,,,,,,,
,,,2,I have a vague idea of what my household income will be in a year’s time,,,,,,,,,,,
,,,3,I have no idea what my household income will be in a year’s time,,,,,,,,,,,
244,uncertch,"And how, if at all, has your certainty about your future household income changed over the past year?",1,I have become less certain,Asked in 2011 only,,,,,,,,,,
,,,2,No change,,,,,,,,,,,
,,,3,I have become more certain,,,,,,,,,,,
